,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
451,ZAMBOANGA SIBUGAY,2008,61.82,82,0.753902439
452,ZAMBOANGA CITY,2008,52.87,38,1.391315789
453,BUKIDNON,2008,4875,10450,0.466507177
454,CAMIGUIN,2008,18.62,31,0.600645161
455,LANAO DEL NORTE,2008,224,802,0.279301746
456,MISAMIS OCCIDENTAL,2008,2.9,37,0.078378378
457,MISAMIS ORIENTAL,2008,314.5,390,0.806410256
458,DAVAO DE ORO,2008,10078.15,10039,1.003899791
459,DAVAO DEL NORTE,2008,611.89,588,1.040629252
460,DAVAO DEL SUR,2008,2924.68,2856,1.024047619
461,DAVAO ORIENTAL,2008,1323.98,1495,0.885605351
462,DAVAO CITY,2008,3364.51,5150,0.653302913
463,COTABATO,2008,1673.44,2360,0.709084746
464,SARANGANI,2008,217,302,0.718543046
465,SULTAN KUDARAT,2008,11907.61,10665,1.116512893
466,SOUTH COTABATO,2008,887.63,855,1.038163743
467,AGUSAN DEL NORTE,2008,448,285,1.571929825
468,AGUSAN DEL SUR,2008,364.41,1455,0.250453608
469,SURIGAO DEL NORTE,2008,11.05,10,1.105
