year,location,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1990, Maguindanao,1,27.294611872146117,79.65730593607306,23.220000000000002,0.18478310502283105,1008.2641210045662,45.894406392694066,0.16607191780821917,0.8089977168949771,3.9850799086757993,182.93173515981735,13.946712328767124,27.772899543378998,0.32511004566210044,151.0697488584475,68.55707762557077
1991, Maguindanao,1,27.298801369863014,78.43458904109589,22.9823401826484,0.16360730593607306,1008.4995433789954,45.78926940639269,0.16515296803652968,0.8486678082191781,4.008276255707763,185.65616438356165,13.871061643835617,27.5710502283105,0.305125,145.62579908675798,72.20616438356164
1992, Maguindanao,1,27.362579690346085,77.23132969034609,22.68441484517304,0.16918260473588342,1008.7862135701274,43.56352459016394,0.1686646174863388,0.9175489526411658,3.99603825136612,183.87374772313296,13.637021857923498,28.171618852459016,0.2796384335154827,146.55418943533698,74.0061475409836
1993, Maguindanao,1,27.004817351598174,80.25936073059361,23.095833333333335,0.20001141552511414,1008.6836301369863,48.26392694063927,0.1606678082191781,0.7688047945205478,3.7069520547945207,187.3777397260274,12.961917808219177,27.366518264840185,0.33593744292237443,141.15102739726026,72.40639269406392
1994, Maguindanao,1,26.769634703196346,81.7560502283105,23.212077625570775,0.21962328767123288,1008.5120776255709,50.68835616438356,0.15903310502283105,0.6981095890410959,3.7455022831050226,191.84714611872147,13.601495433789955,27.180536529680364,0.3582437214611872,142.612899543379,70.55410958904109
1995, Maguindanao,1,26.98301369863014,80.88561643835617,23.191826484018264,0.24286529680365296,1008.2254223744292,51.12682648401827,0.1586404109589041,0.74787899543379,3.58486301369863,176.93390410958904,12.864486301369862,27.572819634703194,0.3216357305936073,139.69691780821918,71.50753424657535
1996, Maguindanao,1,26.54117714025501,83.25922131147541,23.314959016393445,0.31476548269581056,1007.6794285063752,55.98736338797814,0.15240323315118398,0.6325557832422586,3.6098360655737705,207.17087887067396,11.570924408014571,27.083333333333332,0.38087795992714024,131.33754553734062,73.38900273224044
1997, Maguindanao,1,27.05939497716895,79.39372146118721,22.98038812785388,0.19607305936073058,1009.3199885844748,48.8425799086758,0.16240068493150686,0.8012442922374429,3.821449771689498,190.8425799086758,13.263915525114154,27.3261301369863,0.3431385844748858,145.78059360730595,69.05684931506849
1998, Maguindanao,1,28.011746575342464,74.41860730593608,22.53740867579909,0.20767123287671233,1008.7481278538812,44.888584474885846,0.17560616438356164,1.0894041095890412,3.8866780821917812,164.7654109589041,13.685890410958903,28.898755707762557,0.27795901826484015,157.02522831050229,67.03047945205479
1999, Maguindanao,1,26.15560502283105,85.25901826484018,23.364109589041096,0.393013698630137,1007.6731621004567,58.548858447488584,0.1467511415525114,0.5428002283105023,3.349566210045662,181.6821917808219,11.994269406392695,26.91824200913242,0.40050650684931505,123.54018264840182,75.37248858447488
